LatitudeDeg,LatitudeMins,LongitudeDeg,LongitudeMins,LatDD,LonDD,LonDD2min,LatDD2min,Date,Time,Comments,StationEvent,TransectEvent,Station,Beaufort,WaveHeight,WindSpeed,ConvergenceZone,HighTurbidity,TooDarkToSee,ForagingBirds,Whales,SeaOtters,ErrorCheck
59,34.201,-151,21.485,59.57001667,-151.3580833,0.358083333,0.570016667,2012-02-14 00:00,1899-12-30 12:27:00,,1109,165,1,,2,5,0,0,0,0,0,0,1
59,34.32,-151,21.759,59.572,-151.36265,0.36265,0.572,2012-02-14 00:00,1899-12-30 12:35:00,,1110,165,2,,2,5,0,0,0,0,0,0,1
59,34.471,-151,22.138,59.57451667,-151.3689667,0.368966667,0.574516667,2012-02-14 00:00,1899-12-30 12:45:00,,1111,165,3,,2,5,0,0,0,0,0,0,1
59,34.617,-151,22.386,59.57695,-151.3731,0.3731,0.57695,2012-02-14 00:00,1899-12-30 12:53:00,,1112,165,4,,2,5,0,0,0,0,0,0,1
59,34.765,-151,22.735,59.57941667,-151.3789167,0.378916667,0.579416667,2012-02-14 00:00,1899-12-30 13:01:00,,1113,165,5,,2,5,0,0,0,0,0,0,1
59,34.963,-151,23.103,59.58271667,-151.38505,0.38505,0.582716667,2012-02-14 00:00,1899-12-30 13:09:00,,1114,165,6,,2,5,0,0,0,0,0,0,1
59,35.173,-151,23.368,59.58621667,-151.3894667,0.389466667,0.586216667,2012-02-14 00:00,1899-12-30 13:16:00,,1115,165,7,,2,5,0,0,0,0,0,0,1
59,35.371,-151,23.659,59.58951667,-151.3943167,0.394316667,0.589516667,2012-02-14 00:00,1899-12-30 13:24:00,,1116,165,8,,2,5,0,0,0,0,0,0,1
59,35.567,-151,23.965,59.59278333,-151.3994167,0.399416667,0.592783333,2012-02-14 00:00,1899-12-30 13:33:00,,1117,165,9,,2,5,0,0,0,0,0,0,1
59,35.781,-151,24.213,59.59635,-151.40355,0.40355,0.59635,2012-02-14 00:00,1899-12-30 13:39:00,,1118,165,10,,2,5,0,0,0,0,0,0,1
59,34.219,-151,21.45,59.57031667,-151.3575,0.3575,0.570316667,2012-03-14 00:00,1899-12-30 14:03:00,,1119,166,1,,0,3,0,0,0,0,0,0,1
59,34.313,-151,21.747,59.57188333,-151.36245,0.36245,0.571883333,2012-03-14 00:00,1899-12-30 14:11:00,,1120,166,2,,0,3,0,0,0,0,0,0,1
59,34.465,-151,22.146,59.57441667,-151.3691,0.3691,0.574416667,2012-03-14 00:00,1899-12-30 14:18:00,,1121,166,3,,0,3,0,0,0,0,0,0,1
59,34.606,-151,22.398,59.57676667,-151.3733,0.3733,0.576766667,2012-03-14 00:00,1899-12-30 14:27:00,,1122,166,4,,0,3,0,0,0,0,0,0,1
59,34.759,-151,22.765,59.57931667,-151.3794167,0.379416667,0.579316667,2012-03-14 00:00,1899-12-30 14:37:00,,1123,166,5,,0,3,0,0,0,0,0,0,1
59,34.949,-151,23.113,59.58248333,-151.3852167,0.385216667,0.582483333,2012-03-14 00:00,1899-12-30 14:47:00,,1124,166,6,,0,3,0,0,0,0,0,0,1
59,35.162,-151,23.379,59.58603333,-151.38965,0.38965,0.586033333,2012-03-14 00:00,1899-12-30 14:55:00,,1125,166,7,,0,3,0,0,0,0,0,0,1
59,35.352,-151,23.678,59.5892,-151.3946333,0.394633333,0.5892,2012-03-14 00:00,1899-12-30 15:09:00,,1126,166,8,,0,3,0,0,0,0,0,0,1
