SurveyName,Year,monthNominal,Match_Name,Transect,Station,Date_isotxt,Time,Cast#,Depth,Type
S2023-02,2023,2,6_1,6,1,2023-02-16,11:17,121,36,CTD
S2023-02,2023,2,6_2,6,2,2023-02-16,11:25,122,53,CTD
S2023-02,2023,2,6_3,6,3,2023-02-16,11:34,123,107,CTD
S2023-02,2023,2,6_4,6,4,2023-02-16,11:50,124,110,CTD
S2023-02,2023,2,7_20,7,20,2023-02-16,12:18,125,86,CTD
S2023-02,2023,2,7_21,7,21,2023-02-16,12:27,126,76,CTD
S2023-02,2023,2,7_22,7,22,2023-02-16,12:36,127,55,CTD
S2023-02,2023,2,7_23,7,23,2023-02-16,12:44,128,55,CTD
S2023-02,2023,2,AlongBay_PTGR,AlongBay,PTGR,2023-02-16,13:02,129,69,CTD
S2023-02,2023,2,AlongBay_POGI,AlongBay,POGI,2023-02-16,13:18,130,103,CTD
S2023-02,2023,2,AlongBay_1,AlongBay,1,2023-02-16,13:37,131,73,CTD
S2023-02,2023,2,AlongBay_2,AlongBay,2,2023-02-16,13:57,132,123,CTD
S2023-02,2023,2,AlongBay_3,AlongBay,3,2023-02-16,14:11,133,109,CTD
S2023-02,2023,2,AlongBay_4,AlongBay,4,2023-02-16,14:32,134,154,CTD
S2023-02,2023,2,AlongBay_5,AlongBay,5,2023-02-16,14:46,135,174,CTD
S2023-02,2023,2,AlongBay_6,AlongBay,6,2023-02-16,15:03,136,101,CTD
S2023-02,2023,2,AlongBay_7,AlongBay,7,2023-02-16,15:14,137,146,CTD
S2023-02,2023,2,AlongBay_8,AlongBay,8,2023-02-16,15:28,138,80,CTD
S2023-02,2023,2,AlongBay_9,AlongBay,9,2023-02-16,15:38,139,66,CTD
S2023-02,2023,2,AlongBay_10,AlongBay,10,2023-02-16,15:46,140,61,CTD
S2023-02,2023,2,AlongBay_11,AlongBay,11,2023-02-16,16:02,141,53,CTD
S2023-02,2023,2,4_10,4,10,2023-02-18,13:06,142,20,CTD
S2023-02,2023,2,4_9,4,9,2023-02-18,13:11,143,30,CTD
S2023-02,2023,2,4_8,4,8,2023-02-18,13:18,144,33,CTD
S2023-02,2023,2,4_7,4,7,2023-02-18,13:25,145,40,CTD
S2023-02,2023,2,4_6,4,6,2023-02-18,13:32,146,71,CTD
S2023-02,2023,2,4_5,4,5,2023-02-18,13:42,147,83,CTD
S2023-02,2023,2,4_4,4,4,2023-02-18,13:52,148,92,CTD
S2023-02,2023,2,4_3,4,3,2023-02-18,14:02,149,112,CTD
S2023-02,2023,2,4_2,4,2,2023-02-18,14:13,150,102,CTD
S2023-02,2023,2,4_1,4,1,2023-02-18,14:22,151,21,CTD
S2023-02,2023,2,9_1,9,1,2023-02-18,14:51,152,63,CTD
S2023-02,2023,2,9_2,9,2,2023-02-18,14:58,153,83,CTD
S2023-02,2023,2,9_3,9,3,2023-02-18,15:05,154,96,CTD
S2023-02,2023,2,9_4,9,4,2023-02-18,15:13,155,97,CTD
S2023-02,2023,2,9_5,9,5,2023-02-18,15:22,156,100,CTD
S2023-02,2023,2,9_6,9,6,2023-02-18,15:30,157,103,CTD
S2023-02,2023,2,9_7,9,7,2023-02-18,15:40,158,101,CTD
S2023-02,2023,2,9_8,9,8,2023-02-18,15:48,159,94,CTD
S2023-02,2023,2,9_9,9,9,2023-02-18,15:55,160,,CTD
S2023-02,2023,2,9_10,9,10,2023-02-18,16:03,161,60,CTD
S2023-02,2023,2,6_3,6,3,2023-03-08,11:34,164,106,CTD
S2023-02,2023,2,7_22,7,22,2023-03-08,12:01,165,76,CTD
S2023-02,2023,2,AlongBay_PTGR,AlongBay,PTGR,2023-03-08,12:17,166,70,CTD
S2023-02,2023,2,AlongBay_POGI,AlongBay,POGI,2023-03-08,12:31,167,103,CTD
S2023-02,2023,2,AlongBay_1,AlongBay,1,2023-03-08,12:47,168,75,CTD
S2023-02,2023,2,AlongBay_2,AlongBay,2,2023-03-08,13:05,169,125,CTD
S2023-02,2023,2,AlongBay_3,AlongBay,3,2023-03-08,13:17,170,111,CTD
S2023-02,2023,2,AlongBay_4,AlongBay,4,2023-03-08,13:34,171,158,CTD
S2023-02,2023,2,AlongBay_5,AlongBay,5,2023-03-08,13:48,172,177,CTD
S2023-02,2023,2,AlongBay_6,AlongBay,6,2023-03-08,14:03,173,104,CTD
S2023-03,2023,3,AlongBay_13,AlongBay,13,2023-03-28,11:53,174,24,CTD
S2023-03,2023,3,AlongBay_12,AlongBay,12,2023-03-28,12:08,175,78,CTD
S2023-03,2023,3,AlongBay_11,AlongBay,11,2023-03-28,12:22,176,54,CTD
S2023-03,2023,3,AlongBay_10,AlongBay,10,2023-03-28,12:38,177,61,CTD
S2023-03,2023,3,AlongBay_10,AlongBay,10,2023-03-28,12:40,,51,Nutrients
S2023-03,2023,3,AlongBay_9,AlongBay,9,2023-03-28,13:05,178,66,CTD
S2023-03,2023,3,AlongBay_8,AlongBay,8,2023-03-28,13:20,179,81,CTD
S2023-03,2023,3,AlongBay_7,AlongBay,7,2023-03-28,13:36,180,146,CTD
S2023-03,2023,3,AlongBay_6,AlongBay,6,2023-03-28,13:52,181,100,CTD
S2023-03,2023,3,AlongBay_6,AlongBay,6,2023-03-28,13:54,,90,Nutrients
S2023-03,2023,3,AlongBay_5,AlongBay,5,2023-03-28,14:12,182,173,CTD
S2023-03,2023,3,AlongBay_4,AlongBay,4,2023-03-28,14:33,183,152,CTD
S2023-03,2023,3,AlongBay_3,AlongBay,3,2023-03-28,14:58,184,108,CTD
S2023-03,2023,3,AlongBay_3,AlongBay,3,2023-03-28,15:00,,98,Nutrients
